,params,iou
258,"('image', 1, True, False, 1.3, True, False, 1)",0.017658677189286227
554,"('image', 2, False, False, 1.5, True, False, 1)",0.018091157002150006
372,"('image', 1, False, False, 1.7, False, True, 1)",0.01832951178420778
354,"('image', 1, False, False, 1.3, True, False, 1)",0.01843719780832556
310,"('image', 1, False, True, 1.3, False, False, 1)",0.01894062894254285
214,"('image', 1, True, True, 1.3, False, False, 1)",0.019215009657925344
70,"('image', 0, True, False, 1.3, False, False, 1)",0.020249077743382315
118,"('image', 0, False, True, 1.3, False, False, 1)",0.020249077743382315
166,"('image', 0, False, False, 1.3, False, False, 1)",0.020249077743382315
22,"('image', 0, True, True, 1.3, False, False, 1)",0.020249077743382315
550,"('image', 2, False, False, 1.3, False, False, 1)",0.02122301076254269
306,"('image', 1, False, True, 1.3, True, False, 1)",0.022026161624942656
560,"('image', 2, False, False, 1.7, True, True, 1)",0.022057846746981906
162,"('image', 0, False, False, 1.3, True, False, 1)",0.022436177013805694
114,"('image', 0, False, True, 1.3, True, False, 1)",0.022436177013805694
66,"('image', 0, True, False, 1.3, True, False, 1)",0.022436177013805694
18,"('image', 0, True, True, 1.3, True, False, 1)",0.022436177013805694
454,"('image', 2, True, False, 1.3, False, False, 1)",0.022512082966998512
210,"('image', 1, True, True, 1.3, True, False, 1)",0.022579293111756892
450,"('image', 2, True, False, 1.3, True, False, 1)",0.02295806836403352
546,"('image', 2, False, False, 1.3, True, False, 1)",0.023037844451822307
386,"('image', 2, True, True, 0.5, True, False, 1)",0.023236994742443003
254,"('image', 1, True, False, 1, False, False, 1)",0.023947947619997394
350,"('image', 1, False, False, 1, False, False, 1)",0.024294328420442997
440,"('image', 2, True, False, 1, True, True, 1)",0.024393850877508918
236,"('image', 1, True, True, 2, False, True, 1)",0.025230426855763828
518,"('image', 2, False, True, 1.7, False, False, 1)",0.02532439602494321
14,"('image', 0, True, True, 1, False, False, 1)",0.025550397880760262
62,"('image', 0, True, False, 1, False, False, 1)",0.025550397880760262
158,"('image', 0, False, False, 1, False, False, 1)",0.025550397880760262
110,"('image', 0, False, True, 1, False, False, 1)",0.025550397880760262
390,"('image', 2, True, True, 0.5, False, False, 1)",0.025660513610172443
250,"('image', 1, True, False, 1, True, False, 1)",0.02670469147649446
346,"('image', 1, False, False, 1, True, False, 1)",0.02699526006190852
232,"('image', 1, True, True, 2, True, True, 1)",0.027823455079963328
10,"('image', 0, True, True, 1, True, False, 1)",0.028083300555018266
154,"('image', 0, False, False, 1, True, False, 1)",0.028083300555018266
58,"('image', 0, True, False, 1, True, False, 1)",0.028083300555018266
106,"('image', 0, False, True, 1, True, False, 1)",0.028083300555018266
514,"('image', 2, False, True, 1.7, True, False, 1)",0.028145241074926858
302,"('image', 1, False, True, 1, False, False, 1)",0.02856657651830834
564,"('image', 2, False, False, 1.7, False, True, 1)",0.0286477896202865
206,"('image', 1, True, True, 1, False, False, 1)",0.02910016744855937
542,"('image', 2, False, False, 1, False, False, 1)",0.029159580254255073
332,"('image', 1, False, True, 2, False, True, 1)",0.02975861549319658
264,"('image', 1, True, False, 1.5, True, True, 1)",0.02984782661882977
538,"('image', 2, False, False, 1, True, False, 1)",0.030656053143558033
510,"('image', 2, False, True, 1.5, False, False, 1)",0.03074721265081511
446,"('image', 2, True, False, 1, False, False, 1)",0.031138589860182187
442,"('image', 2, True, False, 1, True, False, 1)",0.031147435805116447
360,"('image', 1, False, False, 1.5, True, True, 1)",0.03128972560959666
298,"('image', 1, False, True, 1, True, False, 1)",0.03184620290226167
328,"('image', 1, False, True, 2, True, True, 1)",0.031898087056593395
202,"('image', 1, True, True, 1, True, False, 1)",0.03270838377464664
506,"('image', 2, False, True, 1.5, True, False, 1)",0.03273986083016819
502,"('image', 2, False, True, 1.3, False, False, 1)",0.03326277886575563
498,"('image', 2, False, True, 1.3, True, False, 1)",0.03472118652834128
246,"('image', 1, True, False, 0.5, False, False, 1)",0.03552082224373648
342,"('image', 1, False, False, 0.5, False, False, 1)",0.03556393886313017
552,"('image', 2, False, False, 1.5, True, True, 1)",0.035580949590102856
6,"('image', 0, True, True, 0.5, False, False, 1)",0.03584344774395971
102,"('image', 0, False, True, 0.5, False, False, 1)",0.03584344774395971
150,"('image', 0, False, False, 0.5, False, False, 1)",0.03584344774395971
54,"('image', 0, True, False, 0.5, False, False, 1)",0.03584344774395971
242,"('image', 1, True, False, 0.5, True, False, 1)",0.03754104683685241
338,"('image', 1, False, False, 0.5, True, False, 1)",0.03770736429906605
494,"('image', 2, False, True, 1, False, False, 1)",0.038053908710113056
98,"('image', 0, False, True, 0.5, True, False, 1)",0.03832783256963807
2,"('image', 0, True, True, 0.5, True, False, 1)",0.03832783256963807
146,"('image', 0, False, False, 0.5, True, False, 1)",0.03832783256963807
50,"('image', 0, True, False, 0.5, True, False, 1)",0.03832783256963807
490,"('image', 2, False, True, 1, True, False, 1)",0.03863622013763453
534,"('image', 2, False, False, 0.5, False, False, 1)",0.03869878862701467
530,"('image', 2, False, False, 0.5, True, False, 1)",0.03945860499680252
434,"('image', 2, True, False, 0.5, True, False, 1)",0.039621761957508383
438,"('image', 2, True, False, 0.5, False, False, 1)",0.039632660223740894
268,"('image', 1, True, False, 1.5, False, True, 1)",0.040280986769207335
294,"('image', 1, False, True, 0.5, False, False, 1)",0.041554997064899186
198,"('image', 1, True, True, 0.5, False, False, 1)",0.042679729619051185
364,"('image', 1, False, False, 1.5, False, True, 1)",0.04334040836566055
