,params,iou
526,"('image', 2, False, True, 2, False, False, 1)",0.013770121478793106
318,"('image', 1, False, True, 1.5, False, False, 1)",0.013829931244300821
462,"('image', 2, True, False, 1.5, False, False, 1)",0.01385069091104934
384,"('image', 2, True, True, 0.5, True, True, 1)",0.013955284634364984
130,"('image', 0, False, True, 1.7, True, False, 1)",0.014003659552410834
34,"('image', 0, True, True, 1.7, True, False, 1)",0.014003659552410834
82,"('image', 0, True, False, 1.7, True, False, 1)",0.014003659552410834
178,"('image', 0, False, False, 1.7, True, False, 1)",0.014003659552410834
571,"('image', 2, False, False, 2, True, False, 2)",0.014115515610617177
458,"('image', 2, True, False, 1.5, True, False, 1)",0.014165028840887089
272,"('image', 1, True, False, 1.7, True, True, 1)",0.014608675712083867
368,"('image', 1, False, False, 1.7, True, True, 1)",0.015478278264965943
202,"('image', 1, True, True, 1, True, False, 1)",0.01567394458836705
452,"('image', 2, True, False, 1.3, False, True, 1)",0.01586598563550746
358,"('image', 1, False, False, 1.3, False, False, 1)",0.015979418368769798
78,"('image', 0, True, False, 1.5, False, False, 1)",0.016049455600366906
174,"('image', 0, False, False, 1.5, False, False, 1)",0.016049455600366906
126,"('image', 0, False, True, 1.5, False, False, 1)",0.016049455600366906
30,"('image', 0, True, True, 1.5, False, False, 1)",0.016049455600366906
558,"('image', 2, False, False, 1.5, False, False, 1)",0.01618438375058772
314,"('image', 1, False, True, 1.5, True, False, 1)",0.01630423577361574
467,"('image', 2, True, False, 1.7, True, False, 2)",0.01701886979032491
471,"('image', 2, True, False, 1.7, False, False, 2)",0.017242006931399437
170,"('image', 0, False, False, 1.5, True, False, 1)",0.017566753326114716
74,"('image', 0, True, False, 1.5, True, False, 1)",0.017566753326114716
26,"('image', 0, True, True, 1.5, True, False, 1)",0.017566753326114716
122,"('image', 0, False, True, 1.5, True, False, 1)",0.017566753326114716
554,"('image', 2, False, False, 1.5, True, False, 1)",0.01816166985673681
525,"('image', 2, False, True, 2, False, True, 2)",0.01851513266761108
354,"('image', 1, False, False, 1.3, True, False, 1)",0.018667101399045437
